Company Name	Exchange:Ticker	Market Capitalization	Total Enterprise Value	Total Revenue	EBITDA	P_LTM Diluted EPS Before Extra	Diluted EPS before Extra 1 Yr Growth	Diluted EPS before Extra 5 Yr CAGR	Diluted EPS before Extra 10 Yr CAGR	Day Close Price	Shares Outstanding	Dividend Yield	Current Ratio	Total Equity	Total Assets	Total Liabilities	Diluted EPS Incl Extra Items	Diluted EPS Excl Extra Items	Diluted EPS Incl Extra Items	Diluted EPS Excl Extra Items	Return on Equity	Return on Assets	Gross Margin	Earnings from Cont Ops Margin	Total Debt_Equity	Est Annual EPS Growth  1 Yr	Est Annual EPS Growth  2 Yr	LT EPS Growth Rate
"Portola Pharmaceuticals, Inc. (NasdaqGS:PTLA)"	NasdaqGS:PTLA	"3,559.20"	"3,341.40"	32.4	242.8	NM	NM			62.42	57		6.81	192.7	340.7	177	4.76	4.76	4.35	4.35	91.2	38			60			
POSCO (KOSE:A005490)	KOSE:A005490	"22,326.50"	"38,010.00"	"49,822.40"	"5,973.50"	13.8	982.3	11.2	5.04	279.09	80	2.54	1.6	"38,075.20"	"70,246.90"	"28,999.60"	13.8	13.8	20.4	20.4	3.71	2.79	13.3	3.03	46.8	87.2	37.3	18
"Post Holdings, Inc. (NYSE:POST)"	NYSE:POST	"5,318.60"	"9,272.80"	"5,012.10"	854.5	119.4	NM			80.26	66.3		5.53	"3,008.60"	"9,825.60"	"6,837.40"	0.413	0.413	0.672	0.672	2	3.6	30.3	1.2	182	0.92	14.6	14
Potash Corporation of Saskatchewan Inc. (TSX:POT)	TSX:POT	"14,868.60"	"19,657.40"	"3,824.00"	"1,249.00"	35.8	59.7	32	4.37	17.7	840.1	2.26	0.89	"8,199.00"	"17,311.00"	"9,003.00"	0.38	0.38	0.47	0.47	4.79	1.97	24	10.4	55.5	16.7	15.1	14.5
Potbelly Corporation (NasdaqGS:PBPB)	NasdaqGS:PBPB	315.6	288.9	412.9	42	41.9	35.4			12.6	25		1.41	124.2	179	54.7	0.31	0.31	0.301	0.301	6.33	6.64	30.9	1.94		19.4	2.87	20
"Powell Industries, Inc. (NasdaqGS:POWL)"	NasdaqGS:POWL	373.9	267.6	478	22.2	40.4	49.3			32.72	11.4	3.18	3.17	335.3	420	92	1.36	1.36	0.81	0.81	2.81	1.31	17.5	1.94	0.61		48.6	12
"Power Integrations, Inc. (NasdaqGS:POWI)"	NasdaqGS:POWI	"2,330.20"	"2,080.10"	404	73.4	45.1	19	10.4	12.3	78.48	29.7	0.714	6.54	488.1	588.7	58.5	1.62	1.62	1.74	1.74	10.7	5.82	48.8	12.8		14	17.4	20
"PPG Industries, Inc. (NYSE:PPG)"	NYSE:PPG	"28,899.40"	"32,021.40"	"14,776.00"	"2,552.00"	53.2	57.4	3.62	0.674	112.8	256.2	1.42	1.56	"4,913.00"	"16,154.00"	"10,868.00"	3.28	2.11	3.27	2.12	11	7.81	45.1	3.93	83.6	5.04	8.06	8.54
PPL Corporation (NYSE:PPL)	NYSE:PPL	"25,523.40"	"45,260.40"	"7,457.00"	"4,045.00"	14	18	1.19	2.72	37.36	683.2	4.23	0.523	"9,899.00"	"39,034.00"	"28,925.00"	2.79	2.79	2.67	2.67	18.4	4.86	57.1	24.5	199.3	11.7	2.27	5.17
"PRA Group, Inc. (NasdaqGS:PRAA)"	NasdaqGS:PRAA	"1,820.40"	"3,508.40"	812.3	306	18	26.8	1.74	8.43	39.2	46.4		12.1	925.6	"3,173.80"	"2,184.60"	1.83	1.83	2.17	2.17	11.3	5.48	100	13.3	173	0.739	15.6	15
"PRA Health Sciences, Inc. (NasdaqGS:PRAH)"	NasdaqGS:PRAH	"4,712.90"	"5,409.80"	"1,634.80"	262.6	45.1	116.7		2.8	75.44	62.5		1.16	729.3	"2,229.30"	"1,454.50"	1.06	1.06	1.67	1.67	14.7	5.49	34.1	6.69	106	24.9	21.7	17.6
Prana Biotechnology Limited (ASX:PBT)	ASX:PBT	22.9	0.799	2.85	6.18	NM	NM			0.043	533.9		10.6	23.4	22	2.06	0.01	0.01	0.012	0.012	26.7	15.5	94.2	216.2				
"Praxair, Inc. (NYSE:PX)"	NYSE:PX	"38,394.00"	"47,689.00"	"10,753.00"	"3,495.00"	25.2	3.11	0.811	5.45	134.31	285.9	2.35	1.34	"5,452.00"	"19,665.00"	"13,690.00"	5.21	5.21	5.32	5.32	27.7	7.62	44	14.7	156.8	4.46	7.13	10.7
"Precipio, Inc. (NasdaqCM:PRPO)"	NasdaqCM:PRPO	10.4	18.6	1.72	1.6	NM	NM			11.57	0.895			6.46			3.11	3.11	3.11	3.11	NM	108.4	43.7	129.3				
Precision Drilling Corporation (TSX:PD)	TSX:PD	868.5	"2,268.10"	747	160.7	NM	NM			2.96	293.2	0	1.98	"1,460.80"	"3,197.80"	"1,744.20"	0.395	0.395	0.405	0.405	7.89	2.51	32.5	15.9	97.7			
Preferred Bank (NasdaqGS:PFBC)	NasdaqGS:PFBC	815.6		105.6		20.7	22.8	1.52		56.23	14.5	1.42		298.1	"3,412.90"	"3,118.50"	2.56	2.56	2.72	2.72	13.7	1.27		36.7		21.4	18.7	10
Preformed Line Products Company (NasdaqGS:PLPC)	NasdaqGS:PLPC	240.4	256.8	342.5	32.3	17.1	52.4	14.4	1.73	46.98	5.12	1.7	3.51	223.5	350.5	120.4	2.95	2.95	2.75	2.75	6.21	3.68	32.1	4.12	20.6			
"Premier Financial Bancorp, Inc. (NasdaqGM:PFBI)"	NasdaqGM:PFBI	219.5		61.1		17.2	8.24	8.45		20.6	10.7	2.91		174.2	"1,517.20"	"1,339.40"	1.15	1.15	1.2	1.2	7.34	0.851		21				
"Premier, Inc. (NasdaqGS:PINC)"	NasdaqGS:PINC	"1,871.00"	"2,018.40"	"1,353.00"	395.3	17	280			36.15	51.8		0.681	"1,951.50"	"2,566.30"	"4,040.70"	1.33	1.33	2.12	2.12	NM	8.33	54.5	26.6	NM	18.5	14.4	11.3
Presbia PLC (NasdaqGM:LENS)	NasdaqGM:LENS	36.6	22.7	0.016	16.2	NM	NM			2.14	17.1		6.63	8.44	17.7	2.84	1.18	1.18	1.22	1.22	98.9	54.4			6.06			
"Presidio, Inc. (NasdaqGS:PSDO)"	NasdaqGS:PSDO	"1,333.70"	"2,244.50"	"2,842.20"	203	NM				14.67	90.9		1.03	346.9	"2,536.80"	"1,946.10"	0.05	0.05	0.189	0.189			20.4	0.471	158.9			9
"Prestige Brands Holdings, Inc. (NYSE:PBH)"	NYSE:PBH	"2,742.50"	"4,894.40"	882.1	304.4	39.8	30.9	12.2	6.09	51.75	53		2.06	822.5	"3,911.30"	"3,088.80"	1.3	1.3	1.3	1.3	8.86	5.08	57.1	7.87	266.7	11	9.96	11
Pretium Resources Inc. (TSX:PVG)	TSX:PVG	"1,746.80"	"2,278.00"		17.1	NM	NM			9.66	180.8		1.89	824.2	"1,633.10"	787.4	0.346	0.346	0.3	0.3	6.22	0.75			80			
"PRGX Global, Inc. (NasdaqGS:PRGX)"	NasdaqGS:PRGX	138.3	140.3	143.2	9.14	NM	87.6	28.4		6.25	22.1		1.16	52.4	96.8	45.2	0.04	0.1	0.035	0.019	0.883	1.6	35.3	0.312	26.4	125	32.3	
"PriceSmart, Inc. (NasdaqGS:PSMT)"	NasdaqGS:PSMT	"2,497.80"	"2,431.00"	"2,974.00"	184.9	26.9	4.49	8.03	18.6	82.15	30.4	0.852	1.5	638.1	"1,143.90"	454.5	2.92	2.92	3.06	3.06	14.3	7.96	15.9	3.13	18.2	4.11	8.38	12.5
Prima Biomed Ltd. (ASX:PRR)	ASX:PRR	47.6	41.1	2.67	5.94	NM	NM			0.02	"2,342.90"		13.6	26.3	27	5.27	0.021	0.021	0.003	0.003			74.1	281.1	19.6			
PrimeEnergy Corporation (NasdaqCM:PNRG)	NasdaqCM:PNRG	108.3	139.7	65.1	18.3	5.56	NM	29.6	6.71	47.5	2.28		0.52	65.9	227.8	134	1.13	1.13	8.55	8.55	44.7	3.95	40.6	53.2	32.6			
"Primerica, Inc. (NYSE:PRI)"	NYSE:PRI	"3,558.30"	"4,373.30"	"1,582.10"	406.2	16.3	25.7	18.3		78.2	45.5	0.972	4.78	"1,221.40"	"11,670.00"	"10,423.50"	4.59	4.59	4.78	4.78	18.7	2.16	62.9	14.3	80.3	15.4	14.2	16
Primero Mining Corp. (TSX:P)	TSX:P	63	159.2	206.3	31.5	NM	NM			0.328	192.1		0.837	461.1	689.5	212.3	1.32	1.32	1.13	1.13	37.3	20.1	31.4	100.7	22.4			
Primo Water Corporation (NasdaqGM:PRMW)	NasdaqGM:PRMW	382	651.1	171	19	NM				12.77	29.9		0.893	64.4	386.7	323.7	0.212	0.21	0.64	0.639	41.8	1.23	29.8	11	437.3	32.4	22.3	10
Primoris Services Corporation (NasdaqGS:PRIM)	NasdaqGS:PRIM	"1,280.30"	"1,387.30"	"2,128.00"	136	40.8	16.4	11.1		24.89	51.4	0.884	1.61	498.6	"1,157.60"	656	0.51	0.51	0.61	0.61	6.75	3.8	10.2	1.57	50.5	75.5	47.9	19.3
"Principal Financial Group, Inc. (NYSE:PFG)"	NYSE:PFG	"19,051.20"	"20,943.30"	"12,406.90"	"1,921.00"	14.9	13.4	16.6	2.19	66.1	288.2	2.78	2.52	"10,391.30"	"235,496.00"	"224,716.00"	4.5	4.5	4.44	4.44	12.7	0.478	43.1	10.9	30.3	10.9	8.83	9.21
"ProDex, Inc. (NasdaqCM:PDEX)"	NasdaqCM:PDEX	24.1	20.2	22.3	2.5	6.1	326.5	51.6	20.7	6	4.01		4.74	8.88	15.4	2.43	0.198	0.198	1.11	0.984	36.6	9.07	31.2	18.1	1.03	445	11.8	
ProAssurance Corporation (NYSE:PRA)	NYSE:PRA	"3,265.20"	"3,611.60"	899.8	244.2	18.9	80.4	7.47	5.21	61.15	53.4	9.7	2.73	"1,798.70"	"4,872.60"	"3,047.00"	2.83	2.83	3.24	3.24	9.09	2.72	24.6	19.3	24.6	3.29	3.51	27
"Professional Diversity Network, Inc. (NasdaqCM:IPDN)"	NasdaqCM:IPDN	24.7	19.1	24.5	4.08	NM	NM			6.27	3.93		1.18	28.8	40	11	1.98	1.98	2.23	2.23	23	11.2	88.2	23.5				
"Profire Energy, Inc. (NasdaqCM:PFIE)"	NasdaqCM:PFIE	62.8	47.1	24.6	2.27	57.6				1.25	50.2		11	41.4	44.7	2.7			0.022	0.022			52.3	5.97				
"Progenics Pharmaceuticals, Inc. (NasdaqGS:PGNX)"	NasdaqGS:PGNX	478.9	401.5	69.3	9.25	70.2	NM	30.6		6.82	70.2		9.2	104.8	182.9	93.6	0.15	0.15	0.097	0.097	8.4	3.15	100	10.2	54.7			
Progress Software Corporation (NasdaqGS:PRGS)	NasdaqGS:PRGS	"1,530.30"	"1,411.80"	403.9	128.5	NM	NM			31.69	48.3	1.58	1.48	406.6	737.1	344.2	1.13	1.13	1.17	1.17	12.8	7.18	87.4	14	32.2	6.36	2.91	10
"Proofpoint, Inc. (NasdaqGM:PFPT)"	NasdaqGM:PFPT	"3,926.20"	"3,885.40"	409.7	33.5	NM	NM			89.8	43.7		1.56	44.9	808	771.2	2.66	2.66	2.48	2.48	196.7	5.53	71.7	25.6	"1,013.00"	57.4	60.5	27.6
ProPetro Holding Corp. (NYSE:PUMP)	NYSE:PUMP	"1,155.90"	"1,088.10"	520.9	19.7	NM				13.92	83		1.56	221	521.2	147	1.19	1.19	1.4	1.4			9.12	12.4	4.75			
"ProPhase Labs, Inc. (NasdaqCM:PRPH)"	NasdaqCM:PRPH	35.8	6.98	20.8	1.9	2.34	NM			2.08	17.2		7.23	5.96	57.5	6.87	0.17	0.17	2.5	0.889	52.8	4.49	47.5	74				
ProQR Therapeutics N.V. (NasdaqGM:PRQR)	NasdaqGM:PRQR	132.8	83.4	1.35	42.3	NM	NM			5.3	25.1		8.38	56.1	62.2	13.2	1.77	1.77	1.8	1.8	62.5	34	100		12.8			
"PROS Holdings, Inc. (NYSE:PRO)"	NYSE:PRO	917.9	924	155.5	56	NM	NM			29.2	31.4		1.67	3.39	210.7	230.6	2.48	2.48	2.45	2.45	887.8	17.6	58.7	48.2	NM			15
"Prosperity Bancshares, Inc. (NYSE:PB)"	NYSE:PB	"4,467.50"		724.6		16.3	1.9	5.21		64.29	69.5	2.12		"3,642.30"	"22,477.40"	"18,788.30"	3.94	3.94	3.94	3.94	7.63	1.23		37.8		12.2	9.75	10
"Protagonist Therapeutics, Inc. (NasdaqGM:PTGX)"	NasdaqGM:PTGX	228.6	165.3		39.6	NM	NM			13.56	16.9		8.68	87.6	82.7	7.78	5.8	5.8	3.77	3.77	77.3	43.5						
"Protalix BioTherapeutics, Inc. (AMEX:PLX)"	AMEX:PLX	101.2	170.7	11.4	29.7	NM	NM			0.8	126.5		3.03	9.96	71.9	140.3	0.29	0.288	0.743	0.742	NM	24.9	12.7		NM			
"Proteon Therapeutics, Inc. (NasdaqGM:PRTO)"	NasdaqGM:PRTO	24.7	9.46		28.2	NM	NM			1.4	17.6		11.7	38.4	36	3.02	1.72	1.72	1.72	1.72	62.7	36.4						
"Proteostasis Therapeutics, Inc. (NasdaqGM:PTI)"	NasdaqGM:PTI	120.5	50.3	8.25	44.4	NM	NM			4.81	25		9.23	81.5	75.5	8.39	2.06	2.06	1.99	1.99	83.2	43.9	100					
Prothena Corporation plc (NasdaqGS:PRTA)	NasdaqGS:PRTA	"2,420.40"	"1,965.50"	1.05	158	NM	NM			63.66	38		15.3	365.4	582	85.7	4.66	4.66	4.83	4.83	34.9	18.6			10.4			
"Proto Labs, Inc. (NYSE:PRLB)"	NYSE:PRLB	"1,841.40"	"1,724.00"	305.7	83.7	41.6	5.63	18.2		69.5	26.5		6.12	379.8	432	39.6	1.61	1.61	1.67	1.67	12	10.2	56.7	14.5		13.2	14.2	18.3
"Provident Bancorp, Inc. (NasdaqCM:PVBC)"	NasdaqCM:PVBC	208.7		31		29.9	60			21.65	9.64			109.1	832.9	721.7	0.69	0.69	0.725	0.725	6.2	0.848		21.5				
"Provident Financial Holdings, Inc. (NasdaqGS:PROV)"	NasdaqGS:PROV	149.6		71.3		22.7	1.98	2.17		18.96	7.89	2.74		133.5	"1,199.40"	"1,067.90"	0.88	0.88	0.836	0.836	5.09	0.573		9.53		22.2	2.82	
"Provident Financial Services, Inc. (NYSE:PFS)"	NYSE:PFS	"1,664.30"		312		18.2	5.6	5.16		25.82	64.5	2.94		"1,251.80"	"9,509.70"	"8,242.60"	1.38	1.38	1.42	1.42	7.28	0.975		29		5.98	7.42	
"Prudential Bancorp, Inc. (NasdaqGM:PBIP)"	NasdaqGM:PBIP	145.7		15.4		NM	62	30.5		17.06	8.54	0.703		114	844.2	713.5	0.36	0.36	0.046	0.046	0.288	0.051		2.28				
"Prudential Financial, Inc. (NYSE:PRU)"	NYSE:PRU	"47,794.90"	"68,873.90"	"59,923.00"	"7,753.50"	11.3	8.07	18.5	3.36	111.41	429	2.69	1.24	"46,088.00"	"797,365.00"	"750,391.00"	9.71	9.71	9.86	9.86	9.19	0.599	32.4	7.38	72.8	16.8	10.5	9
Prudential plc (LSE:PRU)	LSE:PRU	"59,390.40"	"79,352.90"	"88,702.60"	"4,686.90"	23.5	25.7	6.13	7.06	23.07	"2,574.00"	2.47	1.28	"18,109.20"	"580,919.10"	"562,809.90"	0.926	0.926	0.926	0.926	13.9	0.529	13.5	2.67	105.6	10.4	7.85	11
pSivida Corp. (NasdaqGM:PSDV)	NasdaqGM:PSDV	59.4	44.1	7.14	16.1	NM	NM			1.51	39.4		3.33	20.9	17.5	5	0.681	0.681	0.548	0.548	96	39.6	101.1	262.6				
Psychemedics Corporation (NasdaqCM:PMD)	NasdaqCM:PMD	141.4	137.6	42.5	14.4	17.4	566.6	17.7	4.5	25.89	5.46	2.32	2.54	15.6	25.7	9.24	1.22	1.22	1.49	1.49	59.7	32.2	56.5	19.3	18.8			
PT Telekomunikasi Indonesia Tbk (JKSE:TLKM)	JKSE:TLKM	"34,176.50"	"35,535.80"	"8,996.30"	"4,631.90"	21.2	31	13	7.48	0.345	"99,062.20"	2.97	1.33	"7,833.20"	"14,085.40"	"5,641.40"	0.015	0.015	0.016	0.016	29.8	14.7	59.9	26.4	28.3	19.4	16.2	14.2
PTC Inc. (NasdaqGS:PTC)	NasdaqGS:PTC	"6,707.20"	"7,152.30"	"1,143.30"	90.6	NM	NM			58.06	115.5		0.982	842.7	"2,333.70"	"1,486.40"	0.48	0.48	0.32	0.32	4.19	0.785	71.2	3.12	84	1.91	15.3	18.8
"PTC Therapeutics, Inc. (NasdaqGS:PTCT)"	NasdaqGS:PTCT	795.8	693.2	90.4	114.5	NM	NM			19.39	41		5.3	119.6	248.6	147.8	4.17	4.17	3.81	3.81	87.5	25.2	24.9	143.8	99.1			
Public JointStock Company Mobile TeleSystems (NYSE:MBT)	NYSE:MBT	"8,356.50"	"12,165.80"	"7,696.30"	"2,623.50"	9.55	6.13	11.5	5.24	8.48	985.4	11	1.01	"2,351.70"	"9,519.50"	"6,961.00"	0.796	0.862	0.827	0.888	31.6	8.92	64.7	11.5	193.9	2.17	4.11	9.39
Public Service Enterprise Group Incorporated (NYSE:PEG)	NYSE:PEG	"21,429.00"	"32,947.00"	"9,037.00"	"3,328.00"	40.7	66.2	18.1	3.98	42.36	505.9	4.06	0.873	"13,130.00"	"39,664.00"	"26,659.00"	1.75	1.75	1.04	1.04	4.03	3.53	34.6	5.87	90.1	0.226	0.484	4.57
"Pulmatrix, Inc. (NasdaqGM:PULM)"	NasdaqGM:PULM	45.7	40.3	0.439	14.9	NM	NM			2.39	19.1		2.53	8.76	22.8	6.89	1.88	1.88	1.67	1.67	116.4	30.2			32.6			
"Pulse Biosciences, Inc. (NasdaqCM:PLSE)"	NasdaqCM:PLSE	437	418.2		10.4	NM	NM			30.53	14.3		15.4	25.3	28.6	1.24	0.865	0.865	0.878	0.878	55.9	33.6						
"PulteGroup, Inc. (NYSE:PHM)"	NYSE:PHM	"7,685.70"	"10,546.30"	"7,864.70"	"1,053.00"	13.4	23.9		3.12	24.36	315.5	1.48	4.42	"4,659.40"	"9,920.80"	"5,260.70"	1.75	1.75	1.81	1.81	13	6.32	24.9	7.77	70.2	32.7	25.3	19.4
"Puma Biotechnology, Inc. (NasdaqGS:PBYI)"	NasdaqGS:PBYI	"3,310.30"	"3,116.40"		277.3	NM	NM			89.55	37		4.68	209.8	216.6	49.2	8.29	8.29	8.08	8.08	167.2	82.5						
Pure Cycle Corporation (NasdaqCM:PCYO)	NasdaqCM:PCYO	179.3	153.4	0.719	1.65	NM	NM			7.55	23.8		46.6	69	69.9	1.94	0.055	0.052	0.076	0.072	2.39	1.92	44.1	227.8				
"Pure Storage, Inc. (NYSE:PSTG)"	NYSE:PSTG	"2,873.90"	"2,337.90"	770.7	160.4	NM	NM			13.77	208.7		2.99	478.4	872.9	407.6	1.26	1.26	1.23	1.23	48.4	15.4	65.1	31.6				35
PVH Corp. (NYSE:PVH)	NYSE:PVH	"8,762.30"	"11,474.40"	"8,274.30"	"1,119.70"	23.3	42	2.46	6.27	112.56	77.8	0.133	1.93	"4,806.50"	"10,912.30"	"6,033.90"	6.79	6.79	4.84	4.84	7.95	4.54	53.7	4.68	65.6	10.4	10.5	7.84
Pyxis Tankers Inc. (NasdaqCM:PXS)	NasdaqCM:PXS	34.2	107.6	30	3.32	NM				1.87	18.3		0.314	48.8	130.2	83.2	0.32	0.32	0.47	0.47	16.7	1.11	26.1	28.7	157			
"Q2 Holdings, Inc. (NYSE:QTWO)"	NYSE:QTWO	"1,586.80"	"1,504.70"	161	18.6	NM	NM			38.75	41		2.12	100.2	191.6	91.2	0.917	0.917	0.842	0.842	31.8	8.87	48.8	21				32
QAD Inc. (NasdaqGS:QADA)	NasdaqGS:QADA	563.2	424.1	284	10.1	NM				30.55	19	0.943	1.58	112.7	265.8	154.8	0.817	0.817	0.803	0.803	12.9	1.16	53	5.36	12.9	18.5	6.21	22.5
"QCR Holdings, Inc. (NasdaqGM:QCRH)"	NasdaqGM:QCRH	626.2		125.6		20.5	39.9	14.7		47.55	13.2	0.421		286	"3,381.00"	"3,085.20"	2.17	2.17	2.32	2.32	11.5	1.01		24.3		17.9	14.2	10
"QEP Resources, Inc. (NYSE:QEP)"	NYSE:QEP	"2,265.50"	"3,949.50"	"1,535.90"	483.2	NM	NM			9.42	240.5	0	1.24	"3,502.70"	"7,235.00"	"3,652.00"	5.62	5.62	1.31	1.31	8.64	3.03	51.2	19.8	56.4			12
QIAGEN N.V. (NasdaqGS:QGEN)	NasdaqGS:QGEN	"7,756.30"	"8,554.50"	"1,347.30"	411.5	94.6	35.8	2.81	3	34.07	227.7		2.79	"2,607.10"	"4,067.70"	"1,637.90"	0.353	0.353	0.36	0.36	3.26	3.11	64.4	6.11	44.1	11.9	12	14.4
Qiwi plc (NasdaqGS:QIWI)	NasdaqGS:QIWI	"1,403.30"	"1,084.40"	324.7	98.8	30.3	45.3			22.72	61.8	3.35	1.49	326.2	633.1	278.5	0.666	0.666	0.75	0.75	12.7	8.87	52.9	14.1		22.4	0.996	16
"Qorvo, Inc. (NasdaqGS:QRVO)"	NasdaqGS:QRVO	"8,562.00"	"9,005.70"	"3,032.60"	811.6	NM	NM			67.32	127.2		3.49	"4,896.70"	"6,522.30"	"1,625.60"	0.13	0.13	0.13	0.13	0.335	1.02	37.4	0.546	20.2	22	19.1	14.8
"Quad/Graphics, Inc. (NYSE:QUAD)"	NYSE:QUAD	"1,176.40"	"2,273.20"	"4,285.60"	481.6	17.3	NM	72.7		22.63	52	5.3	1.24	441.5	"2,470.90"	"2,010.20"	0.9	0.9	1.31	1.31	15.2	5.44	21.3	1.55	239.6	11.1	15.2	5
Quaker Chemical Corporation (NYSE:KWR)	NYSE:KWR	"1,964.80"	"1,951.60"	763.5	107	35.5	3.19	2.42	12.6	147.83	13.3	0.961	2.84	412.6	709	287	4.63	4.63	4.17	4.17	14.1	7.79	37	7.51	15.7	6.65	9.94	13.5
QUALCOMM Incorporated (NasdaqGS:QCOM)	NasdaqGS:QCOM	"83,933.20"	"85,878.20"	"23,243.00"	"7,881.00"	18.9	5.35	0.99	6.9	56.81	"1,477.40"	4.01	1.67	"31,768.00"	"56,079.00"	"24,745.00"	3.81	3.81	3	3	14.7	7.68	59.8	19.2	38.1	4.4	4.01	8.96
"Quality Systems, Inc. (NasdaqGS:QSII)"	NasdaqGS:QSII	"1,093.70"	"1,072.10"	509.6	58.9	59.7	222.2	25.7	7.09	17.32	63.1	0	1.14	305	473.2	168.2	0.29	0.29	0.29	0.29	6.35	4.77	56.2	3.58	5.26	15.2	2.15	10.7
Qualstar Corporation (NasdaqCM:QBAK)	NasdaqCM:QBAK	13.6	9.84	9.71	0.561	NM	NM			6.65	2.04		3.02	4.84	7.4	2.5	0.593	0.593	0.363	0.363	14	6.01	29.2	7.6				
"Qualys, Inc. (NasdaqGS:QLYS)"	NasdaqGS:QLYS	"1,564.70"	"1,319.90"	204.8	48.9	45.3	98.5			42.25	37		2.15	258.4	441.5	157.1	0.5	0.5	0.933	0.933	14.7	4.92	77.9	17.8		1.82	8.93	16.6
Quanex Building Products Corporation (NYSE:NX)	NYSE:NX	730.2	"1,002.40"	901.5	98.4	NM				21.2	34.4	0.755	1.89	367.8	782.5	409	0.055	0.055	0.024	0.024	0.212	3.56	23	0.09	76.8	2.5	15.2	15
"Quanta Services, Inc. (NYSE:PWR)"	NYSE:PWR	"5,206.30"	"5,525.60"	"8,115.80"	580.5	23.6	183.2	11	15.8	34.23	152.1		1.96	"3,342.70"	"5,543.10"	"2,144.20"	1.26	1.26	1.45	1.45	6.94	4.36	13.3	2.81	12.5	30.9	24.9	13.7
"Quantenna Communications, Inc. (NasdaqGS:QTNA)"	NasdaqGS:QTNA	656.4	547.4	142.5	1.83	NM	NM			19.48	33.7		6.68	128.7	156.1	25.9	0.297	0.297	0.074	0.074	1.35	0.209	49.9	0.747	4.11	582.1	345.2	22.5
Quantum Corporation (NYSE:QTM)	NYSE:QTM	290.7	405.6	505.3	19.6	78.1	NM			8.44	34.4		0.818	116	225	341	0.108	0.108	0.108	0.108	NM	3.9	42.2	0.721	NM	36.2		20
Quarterhill Inc. (TSX:QTRH)	TSX:QTRH	172.3	79.4	70.3	37.5	NM				1.45	118.6	2.72	9.79	244.1	264.1	28.3	0.09	0.09	0.01	0.01	0.458	1.71	24.5	1.56	9.26	78.2	27.9	
Quest Diagnostics Incorporated (NYSE:DGX)	NYSE:DGX	"14,918.10"	"18,481.10"	"7,551.00"	"1,422.00"	21.9	3.91	3.61	5.45	109.03	136.8	1.65	1.58	"4,737.00"	"10,109.00"	"5,368.00"	4.51	4.51	4.97	4.97	16	7.26	38.7	10	80.6	8.1	7.15	7.76
Quest Resource Holding Corporation (NasdaqCM:QRHC)	NasdaqCM:QRHC	29.6	35.6	180.6	2.99	NM	NM			1.94	15.3		1.18	67.3	105.2	39.7	0.546	0.546	0.512	0.512	11.3	4.14	8.37	4.27	12.4			15
QuickLogic Corporation (NasdaqGM:QUIK)	NasdaqGM:QUIK	113.8	93.3	11.6	15.9	NM	NM			1.43	79.6		2.94	12	35.1	11.1	0.293	0.293	0.259	0.259	72.5	31.6	34.3	151.4	25.9			20
Quidel Corporation (NasdaqGS:QDEL)	NasdaqGS:QDEL	903.9	856.1	215	39.8	227.5	NM		14.9	27.22	33.2		8.41	200.6	404.5	184.4	0.422	0.422	0.12	0.12	1.88	2.85	63.6	1.83	68	320.9	110.8	20
"QuinStreet, Inc. (NasdaqGS:QNST)"	NasdaqGS:QNST	187.8	146	297.4	3.12	NM	NM			4.13	45.5		1.91	124.8	170.2	51.8	0.43	0.43	0.311	0.311	11.6	4.51	9.02	4.77				16.3
"Quintiles IMS Holdings, Inc. (NYSE:Q)"	NYSE:Q	"19,609.20"	"27,290.20"	"6,167.00"	"1,278.00"	197.8	86.2			89.38	219.4		1.2	"8,860.00"	"21,183.00"	"13,383.00"	0.76	0.76	0.452	0.452	2.56	4.14	40.7	1.57	107.1	38.5	26.2	14.4
Qumu Corporation (NasdaqGS:QUMU)	NasdaqGS:QUMU	25.1	21.8	29.7	7.75	NM	NM			2.7	9.28		1.21	18.6	38.6	23	1.23	1.23	1.16	1.16	50.3	14.1	62.9	35.8	46			15
Quorum Health Corporation (NYSE:QHC)	NYSE:QHC	116.7	"1,364.50"	"2,116.60"	84.8	NM	NM			3.85	30.3		1.84	222.4	"2,081.70"	"1,888.50"	12.2	12.2	13.1	13.1	340.8	0.002	35.6	17.4	682.9			
Quotient Limited (NasdaqGM:QTNT)	NasdaqGM:QTNT	259.4	338.1	22.2	64.6	NM	NM			6.89	37.6		1.37	24.1	110	134.1	3.02	3.02	3.02	3.02	751.8	40.3	51.2		NM			
Quotient Technology Inc. (NYSE:QUOT)	NYSE:QUOT	"1,066.40"	891.8	281.7	1.31	NM	NM			11.8	90.4		6.38	311.7	360.6	45	0.231	0.231	0.163	0.163	4.87	2.84	60.4	4.96		149.2	89.2	17.5
QVC Group (NasdaqGS:QVCA)	NasdaqGS:QVCA	"10,488.80"	"16,387.80"	"10,175.00"	"1,779.00"	23.4	17.7			23.28	451		1.46	"4,959.00"	"14,040.00"	"9,116.00"	0.98	0.98	0.994	0.994	10.1	4.47	35	5.03	125.6	0.504	2.41	11.5
R.R. Donnelley & Sons Company (NYSE:RRD)	NYSE:RRD	854.7	"2,751.30"	"6,926.40"	418.1	NM	NM			12.21	70	4.59	1.51	92.2	"3,907.30"	"4,081.40"	7.09	6.95	8.36	7.71	205.8	3.3	19.8	7.78	NM	55.7	34.3	5.75
